,parameter,calib_flag,minValue,maxValue,ini,adjusted
0,bexp,1,0.4,1.9,1.3416140815409658,1.3416140815409658
1,smcmax,1,0.8,1.2,1.1996848223284862,1.1996848223284862
2,dksat,1,0.2,10.0,0.6261341388609023,0.6261341388609023
3,refkdt,1,0.1,4.0,2.791530214907504,2.791530214907504
4,slope,1,0.0,1.0,0.9864902027440882,0.9864902027440882
5,retdeprtfac,1,0.1,10.0,6.529264700094745,6.529264700094745
6,lksatfac,1,10.0,10000.0,566.2805944410412,3954.022419806523
7,zmax,1,10.0,250.0,169.81433227184718,169.81433227184718
8,expon,1,1.0,8.0,1.1405547795016109,1.1405547795016109
9,cwpvt,1,0.5,2.0,0.7340508928350794,0.7340508928350794
10,vcmx25,1,0.6,1.4,1.3743044235607038,1.3743044235607038
11,mp,1,0.6,1.4,1.3909333996464135,1.3909333996464135
12,hvt,0,0.25,1.5,1.0,1.0
13,mfsno,0,0.5,2.0,1.0,1.0
14,rsurfexp,0,1.0,6.0,5.0,5.0
15,Bw,1,0.1,10.0,0.2715057837546889,0.2715057837546889
16,HLINK,0,0.1,10.0,1.0,1.0
17,ChSSlp,0,0.1,10.0,1.0,1.0
18,MannN,1,0.1,10.0,6.601674626325104,6.601674626325104
