parameter,calib_flag,minValue,maxValue,ini
bexp,        1,      0.40,      1.90,      1.341614081540965842e+00       
smcmax,      1,      0.80,      1.20,      1.199684822328486167e+00
dksat,       1,      0.20,      10.0,      6.261341388609023006e-01
refkdt,      1,      0.10,      4.00,      2.791530214907504082e+00
slope,       1,      0.00,      1.00,      9.864902027440881627e-01
retdeprtfac, 1,      0.10,      10.0,      6.529264700094744356e+00
lksatfac,    1,      10.0,      10000.0,   5.662805944410412167e+02
zmax,        1,      10.0,      250.0,     1.698143322718471779e+02
expon,       1,      1.00,      8.0,       1.140554779501610883e+00
cwpvt,       1,      0.50,      2.0,       7.340508928350794049e-01
vcmx25,      1,      0.60,      1.4,       1.374304423560703814e+00
mp,          1,      0.60,      1.4,       1.390933399646413493e+00
hvt,         0,      0.25,      1.5,       1.0
mfsno,       0,      0.50,      2.0,       1.0
rsurfexp,    0,      1.0,       6.0,       5.0
Bw,          1,      0.1,       10.0,      2.715057837546889230e-01
HLINK,       0,      0.1,       10.0,      1.0
ChSSlp,      0,      0.1,       10.0,      1.0
MannN,       1,      0.1,       10.0,      6.601674626325102935e+00

